index,date,weather,prob_of_precip,likely_snow,snow_level,wind,visibility,likely_snow_numeric,forecast_date,endpoint,forecast_type,extracted_date,level_0,max_temp,min_temp,snow_at_1800m,snow_at_1400m,snow_at_1000m,snow_at_1800m_percent,snow_at_1400m_percent,snow_at_1000m_percent
0,"Tomorrow, 24 Jun","Cloudy. Very high (near 100%) chance of rain or snow, most likely in the morning and afternoon. The chance of a thunderstorm in the late morning and afternoon. Heavy falls possible. Winds northwesterly 40 to 60 km/h decreasing to 30 to 45 km/h before dawn then increasing to 40 to 60 km/h in the middle of the day.",,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max 2°C,Min 1°C,1800m 60%,1400m 10%,1000m 0%,60,10,0
1,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers. The chance of a thunderstorm. Winds northwesterly 35 to 55 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max -1°C,Min -1°C,1800m 80%,1400m 50%,1000m 0%,80,50,0
2,"Saturday, 26 Jun","Cloudy. Very high (95%) chance of snow showers, most likely in the morning. Winds northwesterly 35 to 50 km/h turning westerly 25 to 35 km/h during the morning.",,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max -1°C,Min -2°C,1800m 80%,1400m 50%,1000m 0%,80,50,0
3,"Sunday, 27 Jun",Partly cloudy. Slight (30%) chance of a snow shower. Winds westerly 25 to 35 km/h.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max -1°C,Min -4°C,1800m 30%,1400m 20%,1000m 0%,30,20,0
4,"Monday, 28 Jun",Partly cloudy. Winds northeast to southeasterly 15 to 20 km/h tending north to northeasterly during the day.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max 2°C,Min -5°C,,,,,,
5,"Tuesday, 29 Jun",Mostly sunny. Winds northerly 20 to 30 km/h.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max 3°C,Min -5°C,,,,,,
6,"Wednesday, 30 Jun","Partly cloudy. Slight (30%) chance of a shower or snow, most likely later in the day. Winds northerly 25 to 35 km/h turning northwesterly 30 to 45 km/h during the morning.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-23 21:47:51.761285,,Max 3°C,Min -3°C,,,,,,
0,"Tomorrow, 24 Jun","Cloudy. Very high (near 100%) chance of rain or snow, becoming less likely late this afternoon and evening. Rain and snow heavy at times this morning. The chance of a thunderstorm in the late morning and afternoon. Winds northwesterly 30 to 45 km/h increasing to 40 to 60 km/h in the middle of the day.",,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max 2°C,,1800m 60%,1400m 10%,1000m 0%,60,10,0
1,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers. The chance of a thunderstorm. Winds northwesterly 35 to 55 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max -1°C,Min -1°C,1800m 80%,1400m 50%,1000m 0%,80,50,0
2,"Saturday, 26 Jun","Cloudy. Very high (95%) chance of snow showers, most likely in the morning. Winds northwesterly 35 to 50 km/h turning westerly 25 to 35 km/h during the morning.",,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max -1°C,Min -2°C,1800m 80%,1400m 50%,1000m 0%,80,50,0
3,"Sunday, 27 Jun",Partly cloudy. Slight (30%) chance of a snow shower. Winds westerly 25 to 35 km/h.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max -1°C,Min -4°C,1800m 30%,1400m 20%,1000m 0%,30,20,0
4,"Monday, 28 Jun",Partly cloudy. Winds northeast to southeasterly 15 to 20 km/h tending north to northeasterly during the day.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max 2°C,Min -5°C,,,,,,
5,"Tuesday, 29 Jun",Mostly sunny. Winds northerly 20 to 30 km/h.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max 3°C,Min -5°C,,,,,,
6,"Wednesday, 30 Jun","Partly cloudy. Slight (30%) chance of a shower or snow, most likely later in the day. Winds northerly 25 to 35 km/h turning northwesterly 30 to 45 km/h during the morning.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-24 08:22:55.565773,,Max 3°C,Min -3°C,,,,,,
0,"Tomorrow, 26 Jun","Cloudy. Very high (90%) chance of snow showers, most likely in the morning and afternoon. Winds northwesterly 25 to 35 km/h turning westerly early in the morning.",,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max -1°C,Min -2°C,1800m 80%,1400m 60%,1000m 0%,80,60,0
1,"Sunday, 27 Jun",Partly cloudy. Slight (30%) chance of a snow shower. Winds west to northwesterly 30 to 45 km/h turning southwesterly 15 to 25 km/h in the late afternoon.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max -1°C,Min -4°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
2,"Monday, 28 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Tuesday, 29 Jun",Sunny. Winds north to northwesterly 20 to 30 km/h.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max 3°C,Min -6°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
4,"Wednesday, 30 Jun","Partly cloudy. Medium (40%) chance of showers, possibly falling as snow above 1800 metres. Winds northerly 25 to 35 km/h turning northwesterly 35 to 50 km/h during the morning.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max 2°C,Min -4°C,,,,,,
5,"Thursday, 01 Jul","Cloudy. Very high (95%) chance of showers, falilng as snow above 1700 metres. Winds northwesterly 35 to 55 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max 1°C,Min -2°C,,,,,,
6,"Friday, 02 Jul",Partly cloudy. Very high (90%) chance of snow showers. Winds northwesterly 45 to 65 km/h.,,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-25 22:32:51.006338,,Max 0°C,Min -2°C,,,,,,
0,"Tomorrow, 27 Jun",Partly cloudy. Slight (30%) chance of a snow shower. Winds west to northwesterly 30 to 45 km/h turning southwesterly 15 to 25 km/h in the late afternoon.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max -1°C,Min -4°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
1,"Monday, 28 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Tuesday, 29 Jun",Sunny. Winds north to northwesterly 20 to 30 km/h.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max 3°C,Min -6°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Wednesday, 30 Jun","Partly cloudy. Medium (40%) chance of showers, possibly falling as snow above 1800 metres. Winds northerly 25 to 35 km/h turning northwesterly 35 to 50 km/h during the morning.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max 2°C,Min -4°C,,,,,,
4,"Thursday, 01 Jul","Cloudy. Very high (95%) chance of showers, falilng as snow above 1700 metres. Winds northwesterly 35 to 55 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max 1°C,Min -2°C,,,,,,
5,"Friday, 02 Jul",Partly cloudy. Very high (90%) chance of snow showers. Winds northwesterly 45 to 65 km/h.,,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-26 10:44:51.171239,,Max 0°C,Min -2°C,,,,,,
0,"Tomorrow, 28 Jun",The chance of morning fog. Sunny afternoon. Light winds.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 29 Jun",Sunny. Winds north to northwesterly 20 to 30 km/h.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max 3°C,Min -6°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 30 Jun",Partly cloudy. Slight (20%) chance of a shower or snow. Winds northerly 30 to 45 km/h.,,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max 3°C,Min -4°C,1800m 30%,1400m 10%,1000m 0%,30,10,0
3,"Thursday, 01 Jul",Cloudy. Very high (90%) chance of snow showers. Snow falling above 1700 metres. Winds north to northwesterly 30 to 45 km/h.,,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max 2°C,Min -3°C,,,,,,
4,"Friday, 02 Jul",Partly cloudy. Medium (60%) chance of snow showers. Winds northerly 25 to 35 km/h turning northwesterly 25 to 40 km/h during the morning.,,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max 0°C,Min -3°C,,,,,,
5,"Saturday, 03 Jul",Cloudy. Medium (60%) chance of snow showers. Winds west to northwesterly 25 to 35 km/h turning south to southwesterly 35 to 50 km/h during the morning.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-06-27 10:34:33.750185,,Max -2°C,Min -4°C,,,,,,
0,"Tomorrow, 28 Jun",Areas of fog in the early morning. Mostly sunny day. Light winds.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 29 Jun",Sunny. Winds northerly 15 to 25 km/h becoming light in the late afternoon then becoming northerly 15 to 25 km/h in the evening.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max 3°C,Min -6°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 30 Jun","Partly cloudy. High (80%) chance of showers or snow, most likely in the afternoon and evening. Winds northerly 20 to 30 km/h turning northwesterly 30 to 45 km/h during the day.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max 3°C,Min -4°C,1800m 40%,1400m 10%,1000m 0%,40,10,0
3,"Thursday, 01 Jul","Partly cloudy. Very high (90%) chance of snow showers, most likely in the morning and afternoon. Winds northwesterly 35 to 50 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max 1°C,Min -1°C,1800m 70%,1400m 20%,1000m 0%,70,20,0
4,"Friday, 02 Jul","Cloudy. Very high (95%) chance of snow showers, most likely later in the day. Winds northwesterly 35 to 55 km/h.",,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max -1°C,Min -2°C,,,,,,
5,"Saturday, 03 Jul",Cloudy. Medium (50%) chance of snow showers. Winds west to northwesterly 30 to 45 km/h increasing to 35 to 50 km/h later.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max -4°C,Min -6°C,,,,,,
6,"Sunday, 04 Jul",Partly cloudy. Slight (30%) chance of a snow shower. Winds northwesterly 35 to 50 km/h turning westerly 30 to 45 km/h during the morning.,,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-06-27 22:36:42.099570,,Max -3°C,Min -7°C,,,,,,
0,"Tomorrow, 28 Jun",The chance of fog early this morning. Sunny afternoon. Light winds.,,,,,,,2021-06-28 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max 3°C,,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 29 Jun",Sunny. Winds northerly 15 to 25 km/h becoming light in the late afternoon then becoming northerly 15 to 25 km/h in the evening.,,,,,,,2021-06-29 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max 3°C,Min -6°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 30 Jun","Partly cloudy. High (80%) chance of showers or snow, most likely in the afternoon and evening. Winds northerly 20 to 30 km/h turning northwesterly 30 to 45 km/h during the day.",,,,,,,2021-06-30 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max 3°C,Min -4°C,1800m 40%,1400m 10%,1000m 0%,40,10,0
3,"Thursday, 01 Jul","Partly cloudy. Very high (90%) chance of snow showers, most likely in the morning and afternoon. Winds northwesterly 35 to 50 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max 1°C,Min -1°C,1800m 70%,1400m 20%,1000m 0%,70,20,0
4,"Friday, 02 Jul","Cloudy. Very high (95%) chance of snow showers, most likely later in the day. Winds northwesterly 35 to 55 km/h.",,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max -1°C,Min -2°C,,,,,,
5,"Saturday, 03 Jul",Cloudy. Medium (50%) chance of snow showers. Winds west to northwesterly 30 to 45 km/h increasing to 35 to 50 km/h later.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max -4°C,Min -6°C,,,,,,
6,"Sunday, 04 Jul",Partly cloudy. Slight (30%) chance of a snow shower. Winds northwesterly 35 to 50 km/h turning westerly 30 to 45 km/h during the morning.,,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-06-28 07:54:17.512372,,Max -3°C,Min -7°C,,,,,,
0,"Tomorrow, 01 Jul","Partly cloudy. High (80%) chance of showers or snow, most likely in the morning and afternoon. Winds northwesterly 25 to 40 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max 2°C,Min -2°C,1800m 50%,1400m 10%,1000m 0%,50,10,0
1,"Friday, 02 Jul","Partly cloudy. High (70%) chance of showers or snow, most likely in the afternoon and evening. Winds northwesterly 25 to 40 km/h.",,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max 2°C,Min -2°C,1800m 60%,1400m 10%,1000m 0%,60,10,0
2,"Saturday, 03 Jul",Cloudy. Very high (95%) chance of showers. Snow falling above 1700 metres. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max 0°C,Min -2°C,1800m 60%,1400m 10%,1000m 0%,60,10,0
3,"Sunday, 04 Jul",Cloudy. High (80%) chance of snow showers. Winds northwesterly 20 to 30 km/h turning westerly 25 to 40 km/h during the day.,,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max -3°C,Min -5°C,,,,,,
4,"Monday, 05 Jul","Partly cloudy. Medium (40%) chance of snow showers, most likely during the morning. Winds northwest to southwesterly 25 to 40 km/h.",,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max -1°C,Min -7°C,,,,,,
5,"Tuesday, 06 Jul",Partly cloudy. Slight (20%) chance of a shower. Winds northwest to southwesterly 15 to 25 km/h tending south to southeasterly during the day.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-06-30 18:23:47.029871,,Max -1°C,Min -6°C,,,,,,
0,"Tomorrow, 01 Jul","Partly cloudy. High (80%) chance of showers or snow, most likely in the morning and afternoon. Winds northwesterly 25 to 40 km/h.",,,,,,,2021-07-01 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max 2°C,Min -2°C,1800m 50%,1400m 10%,1000m 0%,50,10,0
1,"Friday, 02 Jul","Partly cloudy. High (70%) chance of showers or snow, most likely in the afternoon and evening. Winds northwesterly 25 to 40 km/h.",,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max 2°C,Min -2°C,1800m 60%,1400m 10%,1000m 0%,60,10,0
2,"Saturday, 03 Jul",Cloudy. Very high (95%) chance of showers. Snow falling above 1700 metres. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max 0°C,Min -2°C,1800m 60%,1400m 10%,1000m 0%,60,10,0
3,"Sunday, 04 Jul",Cloudy. High (80%) chance of snow showers. Winds northwesterly 20 to 30 km/h turning westerly 25 to 40 km/h during the day.,,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max -3°C,Min -5°C,,,,,,
4,"Monday, 05 Jul","Partly cloudy. Medium (40%) chance of snow showers, most likely during the morning. Winds northwest to southwesterly 25 to 40 km/h.",,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max -1°C,Min -7°C,,,,,,
5,"Tuesday, 06 Jul",Partly cloudy. Slight (20%) chance of a shower. Winds northwest to southwesterly 15 to 25 km/h tending south to southeasterly during the day.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-06-30 19:10:56.586842,,Max -1°C,Min -6°C,,,,,,
0,"Tomorrow, 02 Jul","Partly cloudy. The chance of fog early this morning. High (80%) chance of snow showers, most likely this evening. Winds northwesterly 35 to 55 km/h.",,,,,,,2021-07-02 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max 1°C,,1800m 60%,1400m 10%,1000m 0%,60,10,0
1,"Saturday, 03 Jul",Partly cloudy. Very high (90%) chance of snow showers. Winds northwesterly 35 to 55 km/h.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max -2°C,Min -3°C,1800m 70%,1400m 50%,1000m 10%,70,50,10
2,"Sunday, 04 Jul","Partly cloudy. Medium (60%) chance of snow showers, most likely in the morning. Winds northwesterly 35 to 50 km/h turning westerly 30 to 45 km/h during the morning.",,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max -3°C,Min -5°C,1800m 60%,1400m 40%,1000m 10%,60,40,10
3,"Monday, 05 Jul",Partly cloudy. Slight (20%) chance of a snow shower. Winds west to southwesterly 20 to 30 km/h tending south to southwesterly during the morning then tending west to southwesterly during the afternoon.,,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max 0°C,Min -6°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
4,"Tuesday, 06 Jul",Partly cloudy. Winds west to northwesterly 20 to 25 km/h tending west to southwesterly 15 to 20 km/h during the morning.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max 0°C,Min -7°C,,,,,,
5,"Wednesday, 07 Jul",Partly cloudy. Winds west to northwesterly 15 to 20 km/h.,,,,,,,2021-07-07 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max 2°C,Min -7°C,,,,,,
6,"Thursday, 08 Jul",Partly cloudy. Slight (20%) chance of a shower. Winds northwesterly 15 to 25 km/h.,,,,,,,2021-07-08 00:00:00,ThredboHandler,7-day,2021-07-02 09:57:31.975365,,Max 1°C,Min -6°C,,,,,,
0,"Tomorrow, 03 Jul",Partly cloudy. Very high (90%) chance of snow showers. Winds northwesterly 35 to 55 km/h.,,,,,,,2021-07-03 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max -2°C,Min -3°C,1800m 80%,1400m 60%,1000m 10%,80,60,10
1,"Sunday, 04 Jul","Partly cloudy. Medium (60%) chance of snow showers, most likely in the morning. Winds northwesterly 35 to 50 km/h turning westerly 30 to 45 km/h during the morning.",,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max -3°C,Min -5°C,1800m 70%,1400m 50%,1000m 10%,70,50,10
2,"Monday, 05 Jul",Partly cloudy. Slight (20%) chance of a snow shower. Winds west to southwesterly 20 to 30 km/h tending south to southwesterly during the morning then tending west to southwesterly during the afternoon.,,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max 0°C,Min -6°C,1800m 40%,1400m 30%,1000m 0%,40,30,0
3,"Tuesday, 06 Jul",Partly cloudy. Winds west to northwesterly 20 to 25 km/h tending west to southwesterly 15 to 20 km/h during the morning.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max 0°C,Min -7°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
4,"Wednesday, 07 Jul",Partly cloudy. Winds west to northwesterly 15 to 20 km/h.,,,,,,,2021-07-07 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max 2°C,Min -7°C,,,,,,
5,"Thursday, 08 Jul",Partly cloudy. Slight (20%) chance of a shower. Winds northwesterly 15 to 25 km/h.,,,,,,,2021-07-08 00:00:00,ThredboHandler,7-day,2021-07-02 19:27:20.602188,,Max 1°C,Min -6°C,,,,,,
0,"Tomorrow, 04 Jul",Partly cloudy. High (70%) chance of snow showers. Winds northwesterly 35 to 55 km/h turning westerly 30 to 45 km/h during the day.,,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max -4°C,Min -5°C,1800m 70%,1400m 50%,1000m 10%,70,50,10
1,"Monday, 05 Jul","Partly cloudy. Slight (30%) chance of a snow shower, most likely in the morning. Winds westerly 30 to 45 km/h decreasing to 15 to 20 km/h during the evening.",,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max -1°C,Min -4°C,1800m 40%,1400m 30%,1000m 0%,40,30,0
2,"Tuesday, 06 Jul",Partly cloudy. Slight (20%) chance of a shower or snow. Winds westerly 15 to 20 km/h becoming light during the afternoon.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max -1°C,Min -6°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
3,"Wednesday, 07 Jul",Partly cloudy. Winds northeasterly 15 to 20 km/h.,,,,,,,2021-07-07 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max 0°C,Min -7°C,,,,,,
4,"Thursday, 08 Jul",Partly cloudy. Winds north to northwesterly 15 to 20 km/h.,,,,,,,2021-07-08 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max 1°C,Min -6°C,,,,,,
5,"Friday, 09 Jul",Cloudy. Medium (50%) chance of snow showers. Winds north to northwesterly 20 to 25 km/h tending west to northwesterly 15 to 25 km/h during the day.,,,,,,,2021-07-09 00:00:00,ThredboHandler,7-day,2021-07-03 11:24:27.729043,,Max 1°C,Min -4°C,,,,,,
0,"Tomorrow, 04 Jul","Partly cloudy. Very high (90%) chance of snow showers, most likely in the early morning. Winds west to northwesterly 35 to 60 km/h becoming westerly 25 to 40 km/h in the late afternoon.",,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max -4°C,Min -6°C,1800m 80%,1400m 60%,1000m 10%,80,60,10
1,"Monday, 05 Jul","Partly cloudy. Slight (30%) chance of a snow shower, most likely in the early morning. Winds westerly 25 to 40 km/h.",,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max -1°C,Min -5°C,1800m 40%,1400m 20%,1000m 0%,40,20,0
2,"Tuesday, 06 Jul",Partly cloudy. Winds northwest to southwesterly 15 to 25 km/h tending south to southwesterly 15 to 20 km/h during the morning then becoming light during the day.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max -1°C,Min -7°C,1800m 10%,1400m 10%,1000m 0%,10,10,0
3,"Wednesday, 07 Jul",Partly cloudy. Light winds becoming northerly 15 to 25 km/h during the afternoon.,,,,,,,2021-07-07 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max 1°C,Min -8°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
4,"Thursday, 08 Jul",Partly cloudy. Winds northerly 15 to 25 km/h turning northwesterly 20 to 30 km/h during the day.,,,,,,,2021-07-08 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max 1°C,Min -7°C,,,,,,
5,"Friday, 09 Jul",Cloudy. Medium (60%) chance of showers. Snow possible above 1900 metres. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-07-09 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max 1°C,Min -6°C,,,,,,
6,"Saturday, 10 Jul","Partly cloudy. Medium (60%) chance of snow showers, most likely during the morning. Winds west to northwesterly 35 to 55 km/h.",,,,,,,2021-07-10 00:00:00,ThredboHandler,7-day,2021-07-03 22:09:59.531297,,Max 1°C,Min -4°C,,,,,,
0,"Tomorrow, 04 Jul","Partly cloudy. Very high (90%) chance of snow showers, most likely in the early morning. Winds west to northwesterly 35 to 60 km/h becoming westerly 25 to 40 km/h in the late afternoon.",,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max -4°C,Min -6°C,1800m 80%,1400m 60%,1000m 10%,80,60,10
1,"Monday, 05 Jul","Partly cloudy. Slight (30%) chance of a snow shower, most likely in the early morning. Winds westerly 25 to 40 km/h.",,,,,,,2021-07-05 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max -1°C,Min -5°C,1800m 40%,1400m 20%,1000m 0%,40,20,0
2,"Tuesday, 06 Jul",Partly cloudy. Winds northwest to southwesterly 15 to 25 km/h tending south to southwesterly 15 to 20 km/h during the morning then becoming light during the day.,,,,,,,2021-07-06 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max -1°C,Min -7°C,1800m 10%,1400m 10%,1000m 0%,10,10,0
3,"Wednesday, 07 Jul",Partly cloudy. Light winds becoming northerly 15 to 25 km/h during the afternoon.,,,,,,,2021-07-07 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max 1°C,Min -8°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
4,"Thursday, 08 Jul",Partly cloudy. Winds northerly 15 to 25 km/h turning northwesterly 20 to 30 km/h during the day.,,,,,,,2021-07-08 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max 1°C,Min -7°C,,,,,,
5,"Friday, 09 Jul",Cloudy. Medium (60%) chance of showers. Snow possible above 1900 metres. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-07-09 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max 1°C,Min -6°C,,,,,,
6,"Saturday, 10 Jul","Partly cloudy. Medium (60%) chance of snow showers, most likely during the morning. Winds west to northwesterly 35 to 55 km/h.",,,,,,,2021-07-10 00:00:00,ThredboHandler,7-day,2021-07-03 22:34:41.963048,,Max 1°C,Min -4°C,,,,,,
0,"Tomorrow, 04 Jul","Partly cloudy. Very high (90%) chance of snow showers, most likely in the early morning. Winds west to northwesterly 35 to 60 km/h becoming westerly 25 to 40 km/h in the late afternoon.",,,,,,,2021-07-04 00:00:00,ThredboHandler,7-day,2021-07-03 22:59:54.763490,,Max -4°C,Min -6°C,1800m 80%,1400m 60%,1000m 10%,80,60,10
